question,intent
파트 뭐뭐 있어?,파트_선택
총 몇 개 파트야?,파트_선택
"기획, 디자인, 프론트, 백, AI 말고 또 있어?",파트_선택
파트 어떻게 골라야 돼?,파트_선택
파트 선택 고민돼,파트_선택
어떤 파트가 제일 인기 많아?,파트_선택
비전공자는 어떤 파트가 좋아?,파트_선택
코딩 아예 모르는데 무슨 파트 가야 해?,파트_선택
디자인 감각 없는데 디자인 파트 가도 돼?,파트_선택
파트 변경 가능해?,파트_선택
활동하다가 파트 바꿀 수 있어?,파트_선택
여러 파트 동시에 활동 못하지?,파트_선택
내 적성에 맞는 파트가 뭘까?,파트_선택
파트별로 뭐 배우는지 간단하게 알려줘,파트_선택
프론트랑 백엔드 차이가 뭐야?,파트_선택
AI 파트는 수학 잘해야 돼?,파트_선택
기획 파트는 뭐하는지 감이 안 와,파트_선택
파트 고를 때 팁 좀 줘,파트_선택
파트별로 경쟁률 달라?,파트_선택
어떤 파트가 취업에 제일 도움 돼?,파트_선택
파트 지원할 때 1지망 2지망 이런 거 있어?,파트_선택
코딩 기초 없으면 프론트나 백엔드 가면 안 돼?,파트_선택
기초 없으면 AI 파트 못 따라가?,파트_선택
디자인 툴 아예 못 다루는데 디자인 파트 괜찮아?,파트_선택
다섯 개 파트 다 모집해?,파트_선택
파트 선택은 언제 해? 지원할 때?,파트_선택
멋쟁이사자처럼에는 어떤 파트들이 개설되어 있나요?,파트_선택
파트 선택 시 고려해야 할 사항이 있을까요?,파트_선택
비전공자에게 추천할 만한 파트가 있는지 궁금합니다.,파트_선택
활동 도중 파트를 변경할 수 있는 기회가 있습니까?,파트_선택
각 파트별 주요 활동 내용에 대해 간략히 설명 부탁드립니다.,파트_선택
"파트 지원 시, 선발 기준이 파트마다 상이한가요?",파트_선택
프론트엔드와 백엔드 파트의 구체적인 차이점이 무엇인가요?,파트_선택
AI 파트에 지원하기 위해 요구되는 선수 지식이 있습니까?,파트_선택
코딩 기초 없으면 프론트나 백엔드 가면 안 돼?,파트_선택
팥츠 변경 가능해ㅐ?,파트_선택
AI 파트는 수돼 잘해야 학?,파트_선택
어떤 파트가 제일 인기 많아?,파트_선택
디자인 툴 아자 못 다루는데 디예인 파트 괜찮아?,파트_선택
파트별쟁 경로률 달라?,파트_선택
기획 파트 뭐 배워?,파트_기획
기획 파트는 뭐하는 곳이야?,파트_기획
기획 파트 활동 내용 알려줘,파트_기획
기획 파트 가면 코딩도 해?,파트_기획
기획자는 무슨 일 해?,파트_기획
서비스 기획 어떻게 하는지 배워?,파트_기획
아이디어톤 같은 거 기획 파트가 주도해?,파트_기획
스토리보드나 페르소나 이런 거 만들어?,파트_기획
기획 파트도 툴 같은 거 써?,파트_기획
